Unnamed,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832
1,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,129,Intel HD Graphics 6000,macOS,1.37,47895.5232
2,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,130,Intel HD Graphics 620,No OS,2.37,30636
3,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,131,AMD Radeon Pro 455,macOS,3.37,135195.336
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,132,Intel Iris Plus Graphics 650,macOS,4.37,96095.808
5,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,133,AMD Radeon R5,Windows 10,5.37,21312
6,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,134,Intel Iris Pro Graphics,Mac OS X,6.37,114017.6016
7,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,135,Intel HD Graphics 6000,macOS,7.37,61735.536
8,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,136,Nvidia GeForce MX150,Windows 10,8.37,79653.6
9,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,137,Intel UHD Graphics 620,Windows 10,9.37,41025.6
10,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,138,Intel HD Graphics 620,No OS,10.37,20986.992
11,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,139,Intel HD Graphics 520,No OS,11.37,18381.0672
12,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,140,AMD Radeon Pro 555,macOS,12.37,130001.6016
13,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,141,AMD Radeon R5 M430,Windows 10,13.37,26581.392
14,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,142,Intel HD Graphics 615,macOS,14.37,67260.672
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,143,Intel Iris Plus Graphics 640,macOS,15.37,80908.344
16,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,144,AMD Radeon R5 M430,Windows 10,16.37,39693.6
17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,145,AMD Radeon Pro 560,macOS,17.37,152274.24
18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,146,Nvidia GeForce 940MX,No OS,18.37,26586.72
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,147,Intel UHD Graphics 620,Windows 10,19.37,52161.12
652,Dell,Gaming,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,790,Intel UHD Graphics 620,Windows 10,20.37,60199.84426
21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,149,Nvidia GeForce GTX 1050,Windows 10,21.37,53226.72
22,HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,150,AMD Radeon R2,No OS,22.37,13746.24
23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,151,Intel UHD Graphics 620,Windows 10,23.37,43636.32
24,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,152,Intel HD Graphics 620,Windows 10,24.37,35111.52
25,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,153,Intel HD Graphics 520,Windows 10,25.37,22305.1392
26,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,154,Intel HD Graphics 6000,Mac OS X,26.37,58554.72
27,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,155,AMD Radeon 530,Windows 10,27.37,42624
28,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,156,Intel UHD Graphics 620,Windows 10,28.37,69157.44
29,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,157,Nvidia GeForce 930MX,Windows 10,29.37,47738.88
30,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,158,Intel HD Graphics,Windows 10,30.37,13053.0672
31,Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,790,AMD Radeon R2,Windows 10,31.37,10602.72
32,HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,160,AMD Radeon 530,Windows 10,32.37,23389.92
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,161,Intel UHD Graphics 620,Windows 10,33.37,99580.32
34,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,162,Intel HD Graphics 6000,Mac OS X,34.37,53173.44
35,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,163,Intel HD Graphics 500,Windows 10,35.37,13266.72
36,Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,164,Intel HD Graphics 620,Linux,36.37,19553.76
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,165,AMD Radeon 530,Windows 10,37.37,52161.12
38,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,790,Intel HD Graphics 620,Windows 10,38.37,26037.4032
39,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,167,Nvidia GeForce 930MX ,Windows 10,39.37,46833.12
40,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,168,Intel HD Graphics 620,Linux,40.37,20725.92
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,169,Nvidia GeForce GTX 1060,Windows 10,41.37,79866.72
42,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,170,Nvidia GeForce 940MX,Linux,42.37,27864.9072
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,171,Intel UHD Graphics 620,Windows 10,43.37,36336.96
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,172,Nvidia GeForce 150MX,Windows 10,44.37,53226.72
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,173,Intel Iris Graphics 540,macOS,45.37,75604.32
652,Apple,Gaming,13.3,IPS Panel Retina Display 2560x1600,AMD Ryzen 1700 3GHz,8GB,174,Intel Iris Graphics 540,macOS,46.37,60199.84426
47,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,175,AMD Radeon RX 580,Windows 10,47.37,69210.72
48,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,176,AMD Radeon R5 M430,Windows 10,48.37,34045.92
49,Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,177,Nvidia GeForce 920MX,Windows 10,49.37,24828.48
652,Asus,Notebook,17.3,1366x768,Intel Core i7 8550U 1.8GHz,4GB,178,Nvidia GeForce 920MX,Windows 10,50.37,60199.84426
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,179,Nvidia GeForce MX150,Windows 10,51.37,44808.48
52,HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,180,AMD Radeon R4 Graphics,Windows 10,52.37,21231.5472
53,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,181,Intel UHD Graphics 620,Windows 10,53.37,58767.84
54,Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,182,Intel HD Graphics 620,Windows 10,54.37,20459.52
55,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,183,AMD Radeon 520,Windows 10,55.37,40908.384
56,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,184,Intel HD Graphics 520,Windows 10,56.37,23389.92
57,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,185,Intel HD Graphics 620,Windows 10,57.37,31232.2032
58,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,186,Nvidia GeForce GTX 1070,Windows 10,58.37,130482.72
59,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,187,Intel HD Graphics 520,Linux,59.37,22111.2
60,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,188,AMD Radeon 530,Windows 10,60.37,69210.72
61,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,790,Intel UHD Graphics 620,Windows 10,61.37,46833.12
62,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,190,Intel HD Graphics 620,No OS,62.37,31914.72
63,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,191,Intel UHD Graphics 620,Windows 10,63.37,50136.48
64,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,192,Intel HD Graphics 620,Windows 10,64.37,36763.2
65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,193,Nvidia GeForce GTX 1050 Ti,Windows 10,65.37,105654.24
66,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,194,AMD Radeon 520,Windows 10,66.37,23373.4032
67,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,195,Intel HD Graphics 400,Windows 10,67.37,12201.12
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,196,Intel HD Graphics 620,Windows 10,68.37,29250.72
69,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,197,Nvidia GeForce GTX 1050 Ti,Linux,69.37,50562.72
70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,198,Intel HD Graphics 620,Windows 10 S,70.37,58021.92
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,199,AMD Radeon 530,Windows 10,71.37,50882.4
72,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,200,AMD Radeon 530,Windows 10,72.37,46353.6
73,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,201,Nvidia GeForce GTX 1050,Windows 10,73.37,58341.6
74,Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,202,Intel HD Graphics 520,Windows 10,74.37,20725.92
75,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,203,Nvidia GeForce GTX 1050,Windows 10,75.37,50562.72
76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,204,Intel HD Graphics 620,Windows 10,76.37,27652.32
77,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,205,Intel UHD Graphics 620,Windows 10,77.37,45554.4
78,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,206,Nvidia GeForce MX130,Windows 10,78.37,28238.4
79,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,207,Nvidia GeForce MX130,Windows 10,79.37,52054.56
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,208,Nvidia GeForce MX130,Windows 10,80.37,58403.4048
81,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,209,Nvidia GeForce MX130,Windows 10,81.37,80452.8
82,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,210,Nvidia GeForce MX130,Windows 10,82.37,45820.8
83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,211,Nvidia GeForce MX130,Windows 10,83.37,21258.72
